cutoff,estimator,rmse
0.05,FORCE,0.10166247037662617
0.05,Pearson,0.150005966369606
0.05,Spearman,0.10873186033288257
0.05,Winsorized,0.11929950193601402
0.05,FastMCD,0.12196007266815782
0.1,FORCE,0.12998242555627934
0.1,Pearson,0.17975961764843107
0.1,Spearman,0.13702988466374816
0.1,Winsorized,0.14825342213410123
0.1,FastMCD,0.14965813646649545
0.15,FORCE,0.14320343476691344
0.15,Pearson,0.1932979843150799
0.15,Spearman,0.15028205481453671
0.15,Winsorized,0.161599150372862
0.15,FastMCD,0.16214422572529855
